Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
78,tt7057496,2025-01-09,2025-01-09,,"Forgotten","Gi-eok-ui bam",https://www.imdb.com/title/tt7057496/,Movie,7.4,108,2017,"Crime, Mystery, Thriller",51327,2018-02-21,"Jang Hang-jun",,
79,tt0413267,2025-01-09,2025-01-09,,"Shrek the Third","Shrek the Third",https://www.imdb.com/title/tt0413267/,Movie,6.1,93,2007,"Animation, Adventure, Comedy, Family, Fantasy, Romance",341817,2007-05-18,"Chris Miller, Raman Hui",,
80,tt0384116,2025-01-09,2025-01-09,,"G.O.R.A.","G.O.R.A.",https://www.imdb.com/title/tt0384116/,Movie,8.0,127,2004,"Adventure, Comedy, Sci-Fi",68578,2017-03-10,"Ömer Faruk Sorak",,
81,tt13452446,2025-01-09,2025-01-09,,"Damsel","Damsel",https://www.imdb.com/title/tt13452446/,Movie,6.1,110,2024,"Action, Adventure, Fantasy",104398,2024-03-08,"Juan Carlos Fresnadillo",,
82,tt1632544,2025-01-09,2025-01-09,,"From Me to You","Kimi ni todoke",https://www.imdb.com/title/tt1632544/,Movie,6.9,128,2010,"Drama, Romance",3039,2023-03-30,"Naoto Kumazawa",,
83,tt17513352,2025-01-09,2025-01-09,,"Twenty Five Twenty One","Seumuldaseot seumulhana",https://www.imdb.com/title/tt17513352/,TV Series,8.6,70,2022,"Drama, Romance",16248,2022-02-12,,,
84,tt0412142,2025-01-09,2025-01-09,,"House","House M.D.",https://www.imdb.com/title/tt0412142/,TV Series,8.7,45,2004,"Drama, Mystery",543089,2004-11-16,,,
85,tt9151230,2025-01-09,2025-01-09,,"To the Lake","Epidemiya",https://www.imdb.com/title/tt9151230/,TV Series,7.2,48,2019,"Drama, Sci-Fi, Thriller",15834,2020-10-07,,,
86,tt11097384,2025-01-09,2025-01-09,,"Spaceman","Spaceman",https://www.imdb.com/title/tt11097384/,Movie,5.7,107,2024,"Adventure, Drama, Sci-Fi",40879,2024-03-01,"Johan Renck",,
87,tt31049778,2025-01-09,2025-01-09,,"A Round of Applause","Kuvvetli Bir Alkis",https://www.imdb.com/title/tt31049778/,TV Series,7.3,40,2024,"Drama",4241,2024-02-29,,,
88,tt13231544,2025-01-09,2025-01-09,,"About Dry Grasses","Kuru Otlar Üstüne",https://www.imdb.com/title/tt13231544/,Movie,7.7,197,2023,"Drama",15999,2024-05-21,"Nuri Bilge Ceylan",,
89,tt14641788,2025-01-09,2025-01-09,,"Enola Holmes 2","Enola Holmes 2",https://www.imdb.com/title/tt14641788/,Movie,6.8,129,2022,"Action, Adventure, Crime, Drama, Mystery",107250,2022-11-04,"Harry Bradbeer",,
90,tt0397442,2025-01-09,2025-01-09,,"Gossip Girl","Gossip Girl",https://www.imdb.com/title/tt0397442/,TV Series,7.5,42,2007,"Drama, Romance",201927,2007-09-19,,,
91,tt3469046,2025-01-09,2025-01-09,,"Despicable Me 3","Despicable Me 3",https://www.imdb.com/title/tt3469046/,Movie,6.3,89,2017,"Animation, Adventure, Comedy, Crime, Family, Sci-Fi",164780,2017-06-30,"Kyle Balda, Pierre Coffin, Eric Guillon",,
92,tt13229894,2025-01-09,2025-01-09,,"God's Crooked Lines","Los renglones torcidos de Dios",https://www.imdb.com/title/tt13229894/,Movie,7.1,154,2022,"Drama, Mystery, Thriller",25286,2022-12-09,"Oriol Paulo",,
93,tt7280898,2025-01-09,2025-01-09,,"22 July","22 July",https://www.imdb.com/title/tt7280898/,Movie,6.8,143,2018,"Biography, Crime, Drama, History, Mystery, Thriller",38668,2018-10-10,"Paul Greengrass",,
94,tt16277242,2025-01-09,2025-01-09,,"Society of the Snow","La sociedad de la nieve",https://www.imdb.com/title/tt16277242/,Movie,7.8,144,2023,"Adventure, Biography, Drama, History, Thriller",154392,2024-01-04,"J.A. Bayona",,
95,tt13317454,2025-01-09,2025-01-09,,"Yakamoz S-245","Yakamoz S-245",https://www.imdb.com/title/tt13317454/,TV Series,6.2,45,2022,"Action, Adventure, Drama, Mystery, Sci-Fi, Thriller",8890,2022-04-20,,,
96,tt3032476,2025-01-09,2025-01-09,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,TV Series,9.0,45,2015,"Crime, Drama",702208,2015-02-08,,,
97,tt22780536,2025-01-09,2025-01-09,,"A Nearly Normal Family","En helt vanlig familj",https://www.imdb.com/title/tt22780536/,TV Mini Series,6.9,46,2023,"Crime, Drama, Thriller",16194,2023-11-24,,,
98,tt13317582,2025-01-09,2025-01-09,,"The Club","Kulüp",https://www.imdb.com/title/tt13317582/,TV Series,7.8,45,2021,"Drama, History",12270,2021-11-05,,,
99,tt0884328,2025-01-09,2025-01-09,,"The Mist","The Mist",https://www.imdb.com/title/tt0884328/,Movie,7.1,126,2007,"Horror, Sci-Fi, Thriller",352840,2007-11-21,"Frank Darabont",,
100,tt9067020,2025-01-09,2025-01-09,,"The I-Land","The I-Land",https://www.imdb.com/title/tt9067020/,TV Mini Series,4.7,40,2019,"Adventure, Drama, Mystery, Sci-Fi",19983,2019-09-12,,,
101,tt26739535,2025-01-09,2025-01-09,,"MH370: The Plane That Disappeared","MH370: The Plane That Disappeared",https://www.imdb.com/title/tt26739535/,TV Mini Series,6.1,53,2023,"Documentary",14868,2023-03-08,,,
102,tt17553374,2025-01-09,2025-01-09,,"Creature","Yaratilan",https://www.imdb.com/title/tt17553374/,TV Mini Series,6.8,45,2023,"Drama, Fantasy, History, Sci-Fi",4530,2023-10-20,,,
103,tt15567174,2025-01-09,2025-01-09,,"The Fall of the House of Usher","The Fall of the House of Usher",https://www.imdb.com/title/tt15567174/,TV Mini Series,7.9,60,2023,"Drama, Horror, Mystery",121907,2023-10-12,,,
104,tt15789472,2025-01-09,2025-01-09,,"Nowhere","Nowhere",https://www.imdb.com/title/tt15789472/,Movie,6.3,109,2023,"Drama, Thriller",43088,2023-09-29,"Albert Pintó",,
105,tt21308888,2025-01-09,2025-01-09,,"Paradise","Paradise",https://www.imdb.com/title/tt21308888/,Movie,6.3,117,2023,"Action, Sci-Fi, Thriller",23253,2023-07-27,"Boris Kunz",,
106,tt23049270,2025-01-09,2025-01-09,,"Do Not Disturb","Do Not Disturb",https://www.imdb.com/title/tt23049270/,Movie,6.3,114,2023,"Comedy, Drama",10894,2023-09-29,"Cem Yilmaz",,
107,tt12881516,2025-01-09,2025-01-09,,"Black Island","Schwarze Insel",https://www.imdb.com/title/tt12881516/,TV Movie,5.2,104,2021,"Drama, Mystery, Thriller",3513,2021-08-18,"Miguel Alexandre",,
108,tt18075020,2025-01-09,2025-01-09,,"Who Is Erin Carter?","Who Is Erin Carter?",https://www.imdb.com/title/tt18075020/,TV Mini Series,6.5,48,2023,"Action, Adventure, Crime, Thriller",22292,2023-08-24,,,
109,tt2372162,2025-01-09,2025-01-09,,"Orange Is the New Black","Orange Is the New Black",https://www.imdb.com/title/tt2372162/,TV Series,8.0,60,2013,"Comedy, Crime, Drama",326119,2013-07-11,,,
110,tt15473010,2025-01-09,2025-01-09,,"The Tailor","Terzi",https://www.imdb.com/title/tt15473010/,TV Series,6.2,45,2023,"Drama, Mystery, Thriller",6396,2023-05-02,,,
111,tt11792734,2025-01-09,2025-01-09,,"Leyla Everlasting","9 Kere Leyla",https://www.imdb.com/title/tt11792734/,Movie,3.7,112,2020,"Comedy",8026,2020-12-04,"Ezel Akay",,
112,tt1630029,2025-01-09,2025-01-09,,"Avatar: The Way of Water","Avatar: The Way of Water",https://www.imdb.com/title/tt1630029/,Movie,7.5,192,2022,"Action, Adventure, Fantasy, Sci-Fi",521807,2022-12-16,"James Cameron",,
113,tt9018736,2025-01-09,2025-01-09,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt9018736/,TV Series,7.2,55,2024,"Action, Adventure, Comedy, Drama, Family, Fantasy, Mystery",77216,2024-02-22,,,
114,tt0417299,2025-01-09,2025-01-09,,"Avatar: The Last Airbender","Avatar: The Last Airbender",https://www.imdb.com/title/tt0417299/,TV Series,9.3,23,2005,"Animation, Action, Adventure, Family, Fantasy, Mystery",395073,2005-02-21,,,
115,tt7078180,2025-01-09,2025-01-09,,"Violet Evergarden","Violet Evergarden",https://www.imdb.com/title/tt7078180/,TV Series,8.4,24,2018,"Animation, Drama, Family, Fantasy, Romance, Sci-Fi",32770,2020-08-22,,,
116,tt8271176,2025-01-09,2025-01-09,,"Kung Fu Panda: The Paws of Destiny","Kung Fu Panda: The Paws of Destiny",https://www.imdb.com/title/tt8271176/,TV Series,7.2,24,2018,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",1694,2018-11-16,,,
117,tt14169960,2025-01-09,2025-01-09,,"All of Us Are Dead","Jigeum uri hakgyoneun",https://www.imdb.com/title/tt14169960/,TV Series,7.5,60,2022,"Action, Drama, Fantasy, Horror, Sci-Fi, Thriller",73916,2022-01-28,,,
118,tt8824648,2025-01-09,2025-01-09,,"Girl From Nowhere","Girl from Nowhere",https://www.imdb.com/title/tt8824648/,TV Series,7.6,45,2018,"Crime, Drama, Fantasy, Horror, Mystery, Thriller",7405,2018-10-31,,,
